tau_Male	tau_Female	tau_Male_threshold	tau_Female_threshold
FBgn0000568	0.435650623885918	0.376726854095977	low	low
FBgn0000575	0.56481592039801	0.521649575671853	low	low
FBgn0000576	0.808421052631579	0.802579365079365	low	low
FBgn0000577	0.801041666666667	0.849563953488372	low	high
FBgn0000578	0.592063492063492	0.519332939787485	low	low
FBgn0000579	0.609225502267335	0.550965018094089	low	low
FBgn0000581	0.467225130890052	0.528917185069984	low	low
FBgn0000588	0.702274509803921	0.778995490981964	low	low
FBgn0000591	0.877777777777778	0.87109375	high	high
FBgn0000592	0.918090488810178	0.964738123947328	high	high
FBgn0000594	0.870515207945376	0.821697324414716	high	high
FBgn0000606	0.949333333333333	0.958333333333333	high	high
FBgn0000611	0.390415240363149	0.430690843698486	low	low
FBgn0000615	0.989053886339366	0.879729873633395	high	high
FBgn0000617	0.580983969043671	0.567061335403727	low	low
FBgn0000618	0.553368421052632	0.571507438400744	low	low
FBgn0000625	0.972200142667889	0.981723716381418	high	high
FBgn0000629	0.256888888888889	0.550604423868313	low	low
FBgn0000633	0.832537213952455	0.841095066185319	low	high
FBgn0000635	0.903962029493134	0.910035975560736	high	high
FBgn0000636	0.561204111600587	0.628344566993464	low	low
FBgn0000639	0.881045751633987	0.979852686308492	high	high
FBgn0000640	0.826573426573427	0.905860995850622	low	high
FBgn0000644	0.61	0.886690925983277	low	high
FBgn0000658	0.779527559055118	0.716911764705882	low	low
FBgn0000659	0.743389383448731	0.800655303962589	low	low
FBgn0000662	0.512893579595427	0.465411931818182	low	low
FBgn0000667	0.664435946462715	0.765070365722481	low	low
FBgn0000709	0.384266666666667	0.527465166130761	low	low
FBgn0000711	0.744280341880342	0.741335363350212	low	low
FBgn0000715	0.980944423814828	0.989915309823289	high	high
FBgn0000719	0.712770809578107	0.654223676383105	low	low
FBgn0000721	0.604154727793696	0.56539259495691	low	low
FBgn0000723	0.750233943002977	0.735102177804296	low	low
FBgn0000808	0.843243243243243	0.868159203980099	low	high
FBgn0000810	0.398793363499246	0.535996835443038	low	low
FBgn0000826	0.421739130434783	0.917718160377358	low	high
FBgn0000927	0.812429378531073	0.901244588744589	low	high
FBgn0000928	0.942105263157895	0.883620689655172	high	high
FBgn0000964	0.867351598173516	0.706458868894602	high	low
FBgn0000996	0.66265664160401	0.872638293728087	low	high
FBgn0001075	0.640816326530612	0.585040983606557	low	low
FBgn0001077	0.989333333333333	0.95	high	high
FBgn0001078	0.648638056045463	0.563881978993919	low	low
FBgn0001079	0.432733504712939	0.517578125	low	low
FBgn0001083	0.920532319391635	0.93445558739255	high	high
FBgn0001084	0.440697674418605	0.529503105590062	low	low
FBgn0001085	0.7826992239258	0.661722896133434	low	low
FBgn0001086	0.964603481624758	0.867581216159933	high	high
FBgn0001087	0.50156378600823	0.441996766370251	low	low
FBgn0001089	0.982681067938467	0.925652804642166	high	high
FBgn0001090	0.81429831191736	0.862511531365314	low	high
FBgn0001091	0.664505282781752	0.663722859995009	low	low
FBgn0001092	0.496400267978235	0.503013987765177	low	low
FBgn0001098	0.856000592395128	0.8628843660276	low	high
FBgn0001099	0.975668923691873	0.399825783972125	high	low
FBgn0001104	0.500713945740124	0.567449635290031	low	low
FBgn0001105	0.562784298551099	0.54547393987134	low	low
FBgn0001108	0.336810279667423	0.274110099337748	low	low
FBgn0001112	0.976827080868603	0.882198297446169	high	high
FBgn0001114	0.823370210036877	0.818874700174444	low	high
FBgn0001120	0.815897435897436	0.905124726020248	low	high
FBgn0001122	0.79909721252734	0.707992593735535	low	low
FBgn0001123	0.515356711003628	0.578249214272509	low	low
FBgn0001124	0.444777589050538	0.674926148275205	low	low
FBgn0001125	0.788161019403417	0.502313353326494	low	low
FBgn0001128	0.717661701693532	0.688366648658383	low	low
FBgn0001133	0.314389233954451	0.292628205128205	low	low
FBgn0001134	0.710460251046025	0.71640625	low	low
FBgn0001137	0.658410351201479	0.724639615589963	low	low
FBgn0001138	0.841641025641026	0.907697547683924	low	high
FBgn0001139	0.336415675913694	0.499388454011742	low	low
FBgn0001142	0.723288188976378	0.574766734279919	low	low
FBgn0001145	0.656375086108622	0.634087554336456	low	low
FBgn0001147	0.884890426758939	0.804166666666667	high	low
FBgn0001148	0.910891089108911	0.723958333333333	high	low
FBgn0001149	0.516040303846538	0.583819192684379	low	low
FBgn0001150	0.850793650793651	0.8325	low	high
FBgn0001168	0.594526612335245	0.481343661401377	low	low
FBgn0001169	0.336645068394528	0.584245230078563	low	low
FBgn0001170	0.920088300220751	0.8759765625	high	high
FBgn0001174	0.958469945355191	0.798295454545455	high	low
FBgn0001179	0.383231913455037	0.468255711775044	low	low
FBgn0001180	0.766431924882629	0.893084415584416	low	high
FBgn0001185	0.382388059701493	0.346162280701754	low	low
FBgn0001186	0.459911624447653	0.843567720262635	low	high
FBgn0001187	0.816912850812408	0.88433445328709	low	high
FBgn0001189	0.583986514959966	0.592461768617021	low	low
FBgn0001197	0.733135536075523	0.810354167839253	low	high
FBgn0001202	0.567858954845256	0.602352596641937	low	low
FBgn0001206	0.646026097271649	0.758872854914197	low	low
FBgn0001208	0.742363644760541	0.754640758547009	low	low
FBgn0001215	0.828299776286354	0.408539936492428	low	low
FBgn0001216	0.923397590361446	0.946907299741602	high	high
FBgn0001217	0.985233601590479	0.869557057057057	high	high
FBgn0001218	0.896350126200675	0.561569589599796	high	low
FBgn0001220	0.680619200693067	0.44562835274107	low	low
FBgn0001222	0.27608129233976	0.3533439116126	low	low
FBgn0001223	0.743090243090243	0.741766078838174	low	low
FBgn0001224	0.954634009373853	0.875770246478873	high	high
FBgn0001225	0.912160566706021	0.883763702331326	high	high
FBgn0001226	0.972517282077221	0.905882566410219	high	high
FBgn0001227	0.838189845474614	0.897890946502058	low	high
FBgn0001228	0.926659175039662	0.998296178839039	high	high
FBgn0001229	0.885533673717481	0.885285714285714	high	high
FBgn0001230	0.910968188105118	0.811111111111111	high	high
FBgn0001233	0.488398072682276	0.497729930763473	low	low
FBgn0001234	0.586035161556435	0.670832058627211	low	low
FBgn0001235	0.684835737179487	0.838914936369725	low	high
FBgn0001247	0.321520824263532	0.373605722599418	low	low
FBgn0001248	0.788995938277363	0.688466088999353	low	low
FBgn0001250	0.631997187060478	0.69300153531218	low	low
FBgn0001253	0.945866666666667	0.930324773413897	high	high
FBgn0001254	0.910144927536232	0.818247126436782	high	high
FBgn0001255	0.609929078014184	0.723190789473684	low	low
FBgn0001256	0.927311827956989	0.8359375	high	high
FBgn0001257	0.882934978154716	0.893817757009346	high	high
FBgn0001258	0.709756097560976	0.780972139893302	low	low
FBgn0001259	0.656140350877193	0.680357142857143	low	low
FBgn0001263	0.985693863789616	0.983996727046029	high	high
FBgn0001269	0.911646586345382	0.835304054054054	high	high
FBgn0001276	0.442036836403034	0.529805352798054	low	low
FBgn0001280	0.902081247694821	0.566348920863309	high	low
FBgn0001281	0.99089205762118	0.913597178683386	high	high
FBgn0001285	0.993604876697146	0.990585018572018	high	high
FBgn0001291	0.401174225744899	0.506984036488027	low	low
FBgn0001296	0.792636254912011	0.785404255319149	low	low
FBgn0001297	0.435940803382664	0.472230722154223	low	low
FBgn0001301	0.623621025308241	0.605465320456541	low	low
FBgn0001308	0.369798933114485	0.257370670758439	low	low
FBgn0001311	0.955733333333333	0.694940476190476	high	low
FBgn0001313	0.990243902439024	0.9921875	high	high
FBgn0001316	0.731420421176273	0.418723800652073	low	low
FBgn0001319	0.878006872852234	0.887117346938776	high	high
FBgn0001320	0.869642087106511	0.919204851752022	high	high
FBgn0001321	0.935791757049891	0.947408536585366	high	high
FBgn0001323	0.913261093911249	0.904247997997998	high	high
FBgn0001324	0.78593220338983	0.523210580912863	low	low
FBgn0001325	0.8834451901566	0.913265306122449	high	high
FBgn0001330	0.337234042553191	0.671529968454259	low	low
FBgn0001332	0.568900020872469	0.550479063165366	low	low
FBgn0001341	0.39951690821256	0.730554427294882	low	low
FBgn0001404	0.700977811207221	0.640093695706131	low	low
FBgn0001491	0.751321966889054	0.342189273552781	low	low
FBgn0001565	0.576904529162594	0.366741409802931	low	low
FBgn0001612	0.537444444444444	0.619957386363636	low	low
FBgn0001624	0.804349792005788	0.809487757731959	low	high
FBgn0001941	0.782020538121737	0.824529011760771	low	high
FBgn0001942	0.467378903380083	0.391414018918263	low	low
FBgn0001961	0.589951191501579	0.593205229793978	low	low
FBgn0001965	0.580150753768844	0.514255910987483	low	low
FBgn0001967	0.941666666666667	0.996710526315789	high	high
FBgn0001970	0.583783783783784	0.54375	low	low
FBgn0001974	0.747084785133566	0.629932683379759	low	low
FBgn0001977	0.583109404990403	0.610651586765699	low	low
FBgn0001978	0.758696205755029	0.51595928226363	low	low
FBgn0001981	0.938978494623656	0.953223270440252	high	high
FBgn0001983	0.942857142857143	0.879464285714286	high	high
FBgn0001986	0.709939002511661	0.624398395721925	low	low
FBgn0001987	0.800021415569119	0.766553217821782	low	low
FBgn0001989	0.5984375	0.607981608891241	low	low
FBgn0001990	0.218538324420677	0.50425911251981	low	low
FBgn0001991	0.786789667896679	0.782443276148312	low	low
FBgn0001992	0.796598639455782	0.471467391304348	low	low
FBgn0001994	0.435947315096251	0.370742002369668	low	low
FBgn0001995	0.453513261982317	0.503674869337979	low	low
FBgn0002021	0.598051750380517	0.309954280964256	low	low
FBgn0002022	0.718858858858859	0.565863332714789	low	low
FBgn0002023	0.81421366345713	0.860227272727273	low	high
FBgn0002031	0.645234380803803	0.427817956179391	low	low
FBgn0002036	0.903259852870541	0.633029073698445	high	low
FBgn0002044	0.32791519434629	0.350862873134328	low	low
FBgn0002069	0.768588064046579	0.697151380439869	low	low
FBgn0002121	0.757539682539683	0.72424551988972	low	low
FBgn0002174	0.890907519820267	0.367696909272183	high	low
FBgn0002183	0.625852342408634	0.728572925398156	low	low
FBgn0002283	0.601997503121099	0.634427828348505	low	low
FBgn0002284	0.755440653584127	0.731700703666473	low	low
FBgn0002306	0.7946735395189	0.612145390070922	low	low
FBgn0002354	0.564167585446527	0.423878899480069	low	low
FBgn0002413	0.367686527106817	0.607084132639079	low	low
FBgn0002431	0.542695681511471	0.382049518569464	low	low
FBgn0002440	0.968627450980392	0.967147435897436	high	high
FBgn0002441	0.551645569620253	0.479706684856753	low	low
FBgn0002466	0.972283272283272	0.904815965583174	high	high
FBgn0002521	0.673691881649905	0.732944109157701	low	low
FBgn0002522	0.909049255441008	0.97202166064982	high	high
FBgn0002524	0.611432855402493	0.574144777031155	low	low
FBgn0002525	0.828133927551137	0.70402791380999	low	low
FBgn0002526	0.606945681211042	0.755750539956803	low	low
FBgn0002531	0.783333333333333	0.705357142857143	low	low
FBgn0002533	0.926984126984127	0.938616071428571	high	high
FBgn0002534	0.959103641456583	0.825721153846154	high	high
FBgn0002535	0.979710144927536	0.946933962264151	high	high
FBgn0002542	0.934171428571429	0.860226297726298	high	high
FBgn0002543	0.624267782426778	0.62314126394052	low	low
FBgn0002552	0.314942528735632	0.568375202593193	low	low
FBgn0002561	0.946666666666667	0.893465909090909	high	high
FBgn0002562	0.780392156862745	0.880859375	low	high
FBgn0002563	0.789312977099237	0.916092814371257	low	high
FBgn0002564	0.846451612903226	0.87545045045045	low	high
FBgn0002565	0.944705600602142	0.962452509102422	high	high
FBgn0002566	0.345678374655647	0.414733259238677	low	low
FBgn0002567	0.906466595212576	0.87957459661704	high	high
FBgn0002569	0.989403982626772	0.985842799104552	high	high
FBgn0002570	0.99287887810592	0.992390856141436	high	high
FBgn0002571	0.994114711373172	0.993293549835379	high	high
FBgn0002573	0.987409268565047	0.99268018018018	high	high
FBgn0002576	0.974793187347932	0.93843792633015	high	high
FBgn0002577	0.850094161958569	0.857954545454545	low	high
FBgn0002578	0.989066029819919	0.989330395996519	high	high
FBgn0002579	0.485957245944142	0.460403763896672	low	low
FBgn0002590	0.609213881039393	0.342164354371212	low	low
FBgn0002592	0.867073170731707	0.841933139534884	high	high
FBgn0002593	0.608886314182164	0.471949499252496	low	low
FBgn0002607	0.561994740293162	0.395087675140532	low	low
FBgn0002609	0.894857142857143	0.870274607703281	high	high
FBgn0002622	0.612340607616602	0.50888104498693	low	low
FBgn0002626	0.583235894728137	0.456873956491848	low	low
FBgn0002629	0.933333333333333	0.905172413793103	high	high
FBgn0002631	1	0.863970588235294	high	high
FBgn0002632	0.851851851851852	0.964939024390244	low	high
FBgn0002633	0.78494623655914	0.743534482758621	low	low
FBgn0002638	0.804723564143854	0.822322892005099	low	high
FBgn0002641	0.863175819497659	0.625676284941389	high	low
FBgn0002643	0.612764481442941	0.646153846153846	low	low
FBgn0002645	0.516546416546417	0.474841734352604	low	low
FBgn0002673	0.974995470193876	0.880824867491166	high	high
FBgn0002707	0.557575757575758	0.686207706766917	low	low
FBgn0002709	0.979102000976086	0.839546191247974	high	high
FBgn0002715	0.973033427054046	0.813874514877102	high	high
FBgn0002716	0.541666666666667	0.579815303430079	low	low
FBgn0002719	0.793123080775466	0.70353182584117	low	low
FBgn0002723	0.365506807866868	0.39404432132964	low	low
FBgn0002732	0.96	0.949542682926829	high	high
FBgn0002733	0.570515329419439	0.582960797799175	low	low
FBgn0002734	0.883333333333333	0.861607142857143	high	high
FBgn0002735	0.824242424242424	0.80241935483871	low	low
FBgn0002736	0.347376368440921	0.567867143746111	low	low
FBgn0002772	0.790833490941811	0.869352511880516	low	high
FBgn0002773	0.790416125046138	0.876347638453761	low	high
FBgn0002774	0.561718398560504	0.542042177361211	low	low
FBgn0002775	0.539322301024429	0.650371828521435	low	low
FBgn0002778	0.859639923090369	0.767071952031979	high	low
FBgn0002780	0.788583450986906	0.670753385044567	low	low
FBgn0002783	0.382841641234317	0.574267925561029	low	low
FBgn0002787	0.555476472914195	0.549813780260708	low	low
FBgn0002789	0.910727751545877	0.931745467307421	high	high
FBgn0002791	0.861435756744399	0.532412190082645	high	low
FBgn0002838	0.989105979869745	0.91025641025641	high	high
FBgn0002842	0.979415827906059	0.74125	high	low
FBgn0002855	0.996227651696887	0.989426691729323	high	high
FBgn0002856	0.993705323292828	0.980798192771084	high	high
FBgn0002862	0.990676258027735	0.95902489626556	high	high
FBgn0002863	0.986082833677634	0.968299959546926	high	high
FBgn0002865	0.990871054320028	0.980592105263158	high	high
FBgn0002868	0.817768819870221	0.851297335255477	low	high
FBgn0002869	0.978796282781103	0.974994921681036	high	high
FBgn0002872	0.88558282208589	0.861757425742574	high	high
FBgn0002873	0.986107953007417	0.924356223175966	high	high
FBgn0002878	0.649122807017544	0.821193361433088	low	high
FBgn0002887	0.766272448532633	0.670445091514143	low	low
FBgn0002891	0.486202686202686	0.654145077720207	low	low
FBgn0002899	0.785323383084577	0.872598870056497	low	high
FBgn0002901	0.875212121212121	0.766290983606557	high	low
FBgn0002905	0.753566229985444	0.698863636363636	low	low
FBgn0002906	0.909574813372282	0.816749072929543	high	high
FBgn0002909	0.795422031473534	0.583224826388889	low	low
FBgn0002914	0.58796362766212	0.293803418803419	low	low
FBgn0002917	0.879026955950033	0.884095634095634	high	high
FBgn0002921	0.72608315523606	0.753521836458137	low	low
FBgn0002922	0.837037037037037	0.856547619047619	low	high
FBgn0002924	0.940748898678414	0.865281224152192	high	high
FBgn0002926	0.914285714285714	0.861304012345679	high	high
FBgn0002930	0.74180785948727	0.673369450595803	low	low
FBgn0002931	0.876411170528818	0.822084057341442	high	high
FBgn0002932	0.813098384728341	0.657889941690962	low	low
FBgn0002933	0.851851851851852	0.9275	low	high
FBgn0002936	0.984348666454525	0.984124898081792	high	high
FBgn0002937	0.946317531978931	0.9390899864682	high	high
FBgn0002938	0.987062240890247	0.984840031562845	high	high
FBgn0002939	0.985193416209459	0.60074200913242	high	low
FBgn0002940	0.988972255504795	0.995112598918622	high	high
FBgn0002941	0.9003003003003	0.919573643410853	high	high
FBgn0002945	0.335051546391753	0.530195147679325	low	low
FBgn0002948	0.669222577209798	0.863297458506224	low	high
FBgn0002962	0.938425271098538	0.904307997028968	high	high
FBgn0002973	0.85015843927767	0.879001043153618	low	high
FBgn0002985	0.914055793991416	0.918408631153068	high	high
FBgn0002989	0.433109619686801	0.617032967032967	low	low
FBgn0003002	0.804878048780488	0.822282608695652	low	high
FBgn0003008	0.512392373923739	0.432105654761905	low	low
FBgn0003009	0.990387858347386	0.8625	high	high
FBgn0003011	0.889214092140921	0.917892156862745	high	high
FBgn0003015	0.943449116392444	0.91874191461837	high	high
FBgn0003016	0.554686530105524	0.53009033203125	low	low
FBgn0003023	0.867639902676399	0.896888421617752	high	high
FBgn0003028	0.83921130952381	0.826577102803738	low	high
FBgn0003034	0.983722502574921	0.984108071304778	high	high
FBgn0003041	0.863074949606011	0.819518506900878	high	high
FBgn0003042	0.756118754525706	0.681911326378539	low	low
FBgn0003044	0.642776927003573	0.789564564564565	low	low
FBgn0003046	0.832807570977918	0.696564885496183	low	low
FBgn0003048	0.250906555090656	0.461974375821288	low	low
FBgn0003053	0.890201282902013	0.779572036150983	high	low
FBgn0003057	NA	1	NA	high
FBgn0003060	0.991271820448878	0.997530864197531	high	high
FBgn0003062	0.786990225817324	0.713862009544008	low	low
FBgn0003065	0.835164835164835	0.752941176470588	low	low
FBgn0003067	0.84887183473282	0.770588667732628	low	low
FBgn0003068	0.86253318164581	0.773744541484716	high	low
FBgn0003071	0.700271925468776	0.411825779327317	low	low
